,marks,seri,model,yil,km,renk,fiyat,tarih,il-ilce
77,Bentley,Continental,Flying Spur,2012,33.100,Siyah,3.350.000 TL,14 Ocak 2022,İstanbul Esenyurt
78,Bentley,Continental,GT,2015,73.500,Lacivert,4.800.000 TL,15 Ocak 2022,İzmir Bornova
79,Bentley,Continental,GT,2007,89.000,Gri,1.950.000 TL,13 Ocak 2022,İstanbul Beykoz
80,Bentley,Continental,GT Speed,2012,86.000,Siyah,4.050.000 TL,12 Ocak 2022,İstanbul Kadıköy
81,Bentley,Continental,GTC,2012,22.000,Beyaz,3.900.000 TL,12 Ocak 2022,İstanbul Beşiktaş
82,Bentley,Continental,GT,2010,110.000,Siyah,3.000.000 TL,12 Ocak 2022,İstanbul Beşiktaş
83,Bentley,Continental,GTC,2012,7.795,Mavi,4.500.000 TL,11 Ocak 2022,İstanbul Kartal
84,Bentley,Continental,GT,2012,47.000,Siyah,3.475.000 TL,11 Ocak 2022,İzmir Gaziemir
85,Bentley,Continental,Flying Spur,2013,84.000,Siyah,4.690.000 TL,13 Ocak 2022,İstanbul Bahçelievler
86,Bentley,Flying Spur,6.0,2020,2.100,Gri,12.500.000 TL,10 Ocak 2022,İstanbul Bakırköy
87,Bentley,Continental,GT,2012,127.629,Siyah,3.150.000 TL,13 Ocak 2022,İstanbul Kadıköy
88,Bentley,Continental,GT,2007,35.059,Siyah,2.459.500 TL,11 Ocak 2022,İstanbul Şişli
89,Bentley,Continental,GT Supersports,2012,32.000,Beyaz,3.850.000 TL,09 Ocak 2022,İstanbul Beşiktaş
90,Bentley,Continental,GT,2013,41.000,Beyaz,4.850.000 TL,08 Ocak 2022,İstanbul Kadıköy
91,Bentley,Continental,GTC,2021,0,Beyaz,13.950.000 TL,08 Ocak 2022,İstanbul Bağcılar
92,Bentley,Continental,GT,2010,50.000,Beyaz,2.890.000 TL,06 Ocak 2022,İstanbul Beşiktaş
93,Bentley,Continental,GT,2013,42.000,Beyaz,4.325.000 TL,08 Ocak 2022,İstanbul Bağcılar
94,Bentley,Continental,Flying Spur,2008,56.000,Lacivert,2.210.000 TL,06 Ocak 2022,İstanbul Esenyurt
95,Bentley,Continental,GT,2013,41.925,Siyah,4.650.000 TL,07 Ocak 2022,İstanbul Bağcılar
96,Bentley,Flying Spur,4.0,2014,26.500,Lacivert,4.750.000 TL,05 Ocak 2022,Ankara Çankaya
97,Bentley,Continental,Flying Spur,2008,32.000,Siyah,2.975.000 TL,04 Ocak 2022,İstanbul Şişli
98,Bentley,Continental,GTC,2012,44.000,Siyah,5.100.000 TL,07 Ocak 2022,İstanbul Beykoz
99,Bentley,Continental,GT Speed,2010,88.000,Beyaz,4.420.000 TL,07 Ocak 2022,Ankara Çankaya
100,Bentley,Continental,GT,2020,14.069,Füme,12.225.000 TL,07 Ocak 2022,İzmir Bornova
101,Bentley,Continental,GT,2012,42.000,Siyah,4.500.000 TL,03 Ocak 2022,İstanbul Şişli
102,Bentley,Continental,GT,2021,1.972,Siyah,13.775.000 TL,06 Ocak 2022,İstanbul Beşiktaş
103,Bentley,Continental,GT Supersports,2011,42.000,Beyaz,3.150.000 TL,02 Ocak 2022,İstanbul Şişli
104,Bentley,Continental,GT Supersports,2012,85.000,Beyaz,3.550.000 TL,02 Ocak 2022,İzmir Karşıyaka
105,Bentley,Continental,GT,2020,8.054,Siyah,12.775.000 TL,05 Ocak 2022,İstanbul Bakırköy
106,Bentley,,,,,,,,İstanbul Şişli
